model_id,latency_s,ndcg,frontier,named
retro-star-32b-rewritten,117.0239,0.741,cross,1
reason-rewriter-reason-embed-8b,29.8805,0.738,bi-encoder,1
retro-star-32b,85.3660,0.733,cross,1
hanhainebula/reason-embed-qwen3-8b-0928,1.7504,0.710,bi-encoder,1
diver-grouprank-32b,63.9364,0.693,cross,1
Raderspace/RaDeR_Qwen25-14B_NuminaMath_MATH_allquerytypes,3.0408,0.692,,0
Raderspace/RaDeR_Qwen25-7B_NuminaMath_MATH_allquerytypes,1.6673,0.690,bi-encoder,1
qwen3-reranker-4b,1.1661,0.683,cross,1
AQ-MedAI/Diver-Retriever-4B,1.4561,0.681,bi-encoder,1
hanhainebula/reason-embed-llama-3.1-8b-0928,1.9501,0.664,,0
Raderspace/RaDeR_Qwen25_3B_NuminaMath_MATH_allquerytypes,0.9395,0.654,bi-encoder,1
qwen3-reranker-0.6b,0.9686,0.652,cross,1
splade-code-8b,5.6395,0.650,,0
Octen/Octen-Embedding-8B,1.6546,0.636,,0
google/gemini-embedding-2,2.4057,0.628,,0
google/gemini-embedding-001,6.0667,0.616,,0
Qwen/Qwen3-Embedding-4B,1.0807,0.615,,0
Qwen/Qwen3-Embedding-8B,1.6749,0.611,,0
jhu-clsp/rank1-32b,114.6740,0.610,,0
microsoft/harrier-oss-v1-27b,6.7484,0.608,,0
infly/inf-retriever-v1-pro,2.8010,0.594,,0
tencent/KaLM-Embedding-Gemma3-12B-2511,3.2811,0.584,,0
nvidia/llama-embed-nemotron-8b,1.6247,0.579,,0
Qwen/Qwen3-Embedding-0.6B,0.4575,0.575,bi-encoder,1
microsoft/harrier-oss-v1-0.6b,0.5066,0.572,,0
jinaai/jina-embeddings-v5-text-small,0.8841,0.565,,0
lightonai/Reason-ModernColBERT,0.6071,0.558,cross,1
text-embedding-3-large,4.6416,0.557,,0
jinaai/jina-embeddings-v5-text-nano,0.6826,0.530,,0
google/embeddinggemma-300m,0.5367,0.527,,0
text-embedding-3-small,6.4867,0.512,,0
BAAI/bge-m3,0.3988,0.511,bi-encoder,1
reasonir/ReasonIR-8B,2.3621,0.507,,0
microsoft/harrier-oss-v1-270m,0.6826,0.498,,0
inf-x-retriever,3.3213,0.494,,0
intfloat/multilingual-e5-large,0.5433,0.488,,0
approach0,1.2737,0.468,,0
bm25,0.0180,0.416,bi-encoder,1
jaccard,0.0140,0.412,bi-encoder,1
tf-idf,0.0220,0.412,,0
google-bert/bert-base-uncased,0.4855,0.357,,0
FacebookAI/roberta-base,0.9338,0.311,,0
