method,arm,n_targets,ties_skipped,pct_math_gt_words_All,pct_Algebra,pct_Calculus and Analysis,pct_Combinatorics,pct_Geometry,pct_Number Theory,mean_pr_full,mean_pr_math,mean_pr_text
google-bert/bert-base-uncased,p0,969,0,87.51,100.0,100.0,66.15,82.83,91.57,0.8651,0.8187,0.5908
google-bert/bert-base-uncased,p1,969,0,92.57,100.0,100.0,84.1,85.86,94.78,0.8551,0.838,0.71
google-bert/bert-base-uncased,p2,969,0,93.81,99.32,100.0,86.67,88.38,95.98,0.859,0.8431,0.7047
google-bert/bert-base-uncased,p3,969,0,89.47,99.32,100.0,76.41,81.82,92.37,0.8616,0.8303,0.6694
microsoft/codebert-base,p0,969,0,78.74,94.56,100.0,49.23,69.19,84.74,0.9598,0.9454,0.9063
microsoft/codebert-base,p1,969,0,88.54,95.92,100.0,67.18,86.87,93.98,0.9596,0.9542,0.9332
microsoft/codebert-base,p2,969,0,90.61,96.6,100.0,72.82,88.89,95.58,0.9599,0.9548,0.9328
microsoft/codebert-base,p3,969,0,86.17,95.24,100.0,62.05,83.84,91.57,0.9586,0.9501,0.9216
approach0,p0,969,0,73.27,91.16,98.33,46.15,56.06,79.52,34.0647,23.3645,9.6599
tf-idf,p0,969,0,71.83,91.16,99.44,52.31,50.51,72.69,0.1954,0.177,0.0744
intfloat/multilingual-e5-large,p0,969,0,70.9,91.16,97.78,58.46,43.43,71.08,0.864,0.8468,0.8242
intfloat/multilingual-e5-large,p1,969,0,61.82,87.07,98.89,42.56,34.34,57.03,0.8591,0.8427,0.8354
intfloat/multilingual-e5-large,p2,969,0,63.88,90.48,98.33,43.08,36.87,61.04,0.8593,0.8402,0.8311
intfloat/multilingual-e5-large,p3,969,0,60.17,88.44,97.78,41.03,32.32,53.41,0.8576,0.8348,0.8245
lightonai/Reason-ModernColBERT,p0,969,0,70.69,92.52,98.33,49.23,52.02,69.48,44.6637,30.4591,17.7976
lightonai/Reason-ModernColBERT,p1,969,0,64.81,90.48,97.22,44.62,42.42,59.84,81.9087,63.1027,53.9238
lightonai/Reason-ModernColBERT,p2,969,0,63.88,89.8,97.22,45.64,38.38,59.04,73.0692,54.2703,45.4401
lightonai/Reason-ModernColBERT,p3,969,0,68.42,91.16,97.22,47.69,48.48,66.27,57.1266,40.879,29.763
lightonai/GTE-ModernColBERT-v1,p0,969,0,69.66,90.48,98.33,48.72,54.55,65.06,63.7772,42.9633,27.306
lightonai/GTE-ModernColBERT-v1,p1,969,0,69.56,90.48,98.33,48.72,54.04,65.06,113.875,93.0767,77.7121
lightonai/GTE-ModernColBERT-v1,p2,969,0,69.56,90.48,98.33,48.72,54.04,65.06,103.3121,82.4345,67.0635
lightonai/GTE-ModernColBERT-v1,p3,969,0,69.56,90.48,98.33,48.72,54.04,65.06,79.3972,58.5958,42.9946
bm25,p0,969,0,69.25,90.48,98.33,47.69,53.03,65.46,8.186,5.5947,2.5913
reasonir/ReasonIR-8B,p0,969,0,66.46,89.8,100.0,41.54,48.99,61.85,0.6368,0.5522,0.4591
reasonir/ReasonIR-8B,p1,969,0,66.87,90.48,99.44,44.1,46.97,63.05,0.635,0.569,0.4844
reasonir/ReasonIR-8B,p2,969,0,66.25,91.16,99.44,43.59,44.44,62.65,0.6111,0.5312,0.4326
reasonir/ReasonIR-8B,p3,969,0,66.15,91.84,98.33,42.56,43.94,63.86,0.6254,0.5518,0.4654
FacebookAI/roberta-base,p0,969,0,66.25,91.16,98.89,38.97,44.44,66.67,0.9346,0.9129,0.8938
FacebookAI/roberta-base,p1,969,0,86.58,95.24,100.0,62.05,83.33,93.57,0.9499,0.9444,0.9204
FacebookAI/roberta-base,p2,969,0,86.27,95.24,100.0,61.03,82.83,93.57,0.9465,0.9408,0.9147
FacebookAI/roberta-base,p3,969,0,81.42,95.24,100.0,52.31,72.22,89.96,0.9427,0.9329,0.9059
BAAI/bge-m3,p0,969,0,63.05,89.12,92.22,54.87,41.92,49.8,0.5956,0.5517,0.5132
BAAI/bge-m3,p1,969,0,58.72,87.76,97.22,44.1,29.8,48.19,0.5762,0.5121,0.4909
BAAI/bge-m3,p2,969,0,59.65,87.76,96.67,44.1,30.81,51.41,0.5965,0.5331,0.5131
BAAI/bge-m3,p3,969,0,56.55,87.07,95.56,41.54,29.8,43.37,0.5931,0.5114,0.4954
AQ-MedAI/Diver-Retriever-0.6B,p0,969,0,62.02,88.44,96.67,41.03,31.31,62.25,0.788,0.7266,0.6883
AQ-MedAI/Diver-Retriever-0.6B,p1,969,0,58.93,85.03,97.22,39.49,32.32,52.21,0.7684,0.7042,0.6828
AQ-MedAI/Diver-Retriever-0.6B,p2,969,0,61.92,87.76,95.56,40.0,34.34,61.45,0.7747,0.7182,0.6819
AQ-MedAI/Diver-Retriever-0.6B,p3,969,0,60.68,87.76,95.0,40.51,31.82,58.63,0.7786,0.7194,0.6879
splade-code-0.6b,p0,969,0,62.02,89.8,95.0,42.56,37.88,56.22,301.4779,264.5949,233.096
splade-code-0.6b,p1,969,0,51.19,81.63,94.44,36.92,23.74,34.94,272.0163,203.1362,202.1984
splade-code-0.6b,p2,969,0,50.98,82.99,96.11,36.92,19.7,35.34,274.8996,203.0133,202.3939
splade-code-0.6b,p3,969,0,49.12,83.67,95.0,35.38,18.69,30.52,270.4782,191.6251,192.3145
nvidia/llama-embed-nemotron-8b,p0,969,0,61.82,89.12,95.56,42.56,38.38,55.02,0.5356,0.4567,0.4016
nvidia/llama-embed-nemotron-8b,p1,969,0,60.17,87.76,93.89,37.95,36.87,55.42,0.4902,0.4272,0.3911
nvidia/llama-embed-nemotron-8b,p2,969,0,63.67,91.16,95.56,40.51,38.89,62.25,0.4748,0.4214,0.3714
nvidia/llama-embed-nemotron-8b,p3,969,0,57.79,86.39,93.33,37.95,32.83,50.6,0.5108,0.4394,0.3995
splade-code-8b,p0,969,0,61.82,85.71,94.44,41.03,39.9,57.83,238.9451,213.7448,189.8753
splade-code-8b,p1,969,0,59.24,82.99,93.89,39.49,38.89,51.81,211.5324,178.988,171.89
splade-code-8b,p2,969,0,56.66,80.27,93.89,37.44,33.84,49.0,210.0458,171.1538,166.2559
splade-code-8b,p3,969,0,54.28,80.95,93.33,36.92,25.76,46.59,215.2886,170.9529,164.5947
hanhainebula/reason-embed-qwen3-8b-0928,p0,969,0,61.61,89.12,97.78,39.49,34.34,58.23,0.8091,0.7236,0.6771
hanhainebula/reason-embed-qwen3-8b-0928,p1,969,0,55.93,85.71,95.0,37.44,29.8,45.38,0.7844,0.706,0.7005
hanhainebula/reason-embed-qwen3-8b-0928,p2,969,0,57.28,85.03,95.56,37.95,31.31,49.0,0.7726,0.6928,0.6799
hanhainebula/reason-embed-qwen3-8b-0928,p3,969,0,58.31,85.71,96.11,37.95,30.81,52.61,0.7767,0.6933,0.6668
text-embedding-3-large,p0,969,0,60.17,87.07,96.11,43.08,38.89,48.59,0.5393,0.4634,0.4123
text-embedding-3-large,p1,969,0,58.41,86.39,94.44,42.56,33.84,47.79,0.5333,0.4588,0.4293
text-embedding-3-large,p2,969,0,56.86,87.76,93.89,38.97,30.3,46.99,0.534,0.4513,0.4281
